video_path,video_name,fps,frame_count,processed_frames,sampled_frames,sample_frames_config,analysis_width_config,flow_every_n,mediapipe_every_n,mediapipe_checked_frames,resolution,analysis_resolution,brightness_mean,brightness_std,blur_mean,blur_std,edge_density_mean,edge_density_std,motion_mean,motion_std,occlusion_rate,hand_visibility_ratio,hand_detected_frames,person_area_ratio_mean,person_area_ratio_std,frontality_score,angle_variance,shoulder_angle_mean
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00215.mp4,W00215.mp4,29.97002997002997,145,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.72114076967593,24.982288428374478,607.4228226192145,89.31766546998365,0.028963396990740742,0.002120387344255394,0.20506433803926816,0.20716815329055352,0.5,1.0,3,0.3326269555743817,0.04528998498661531,0.9592779825131098,0.022690385580062866,-56.590954075211506
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00216B.mp4,W00216B.mp4,29.97002997002997,132,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",86.48627531828703,25.01170027499636,486.1668159505836,78.44043639073843,0.026432291666666666,0.0037980051166196893,0.24092071858996694,0.19794318306866573,0.5,1.0,3,0.30475519441753607,0.029968614373587946,0.9944047868251801,0.014632385969161988,-104.39287407408492
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00216N.mp4,W00216N.mp4,29.97002997002997,125,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",86.4670775462963,24.06750646880413,456.14572196297354,98.44168214250729,0.025438368055555553,0.0036737223170808125,0.28099662929096003,0.2055134926840973,0.6666666666666667,1.0,2,0.3435617702452003,0.050488428693267536,0.98130002617836,0.01369938850402832,-104.4878921202898
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00216T.mp4,W00216T.mp4,29.97002997002997,125,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",86.4943113425926,24.114324686242664,454.4752291750558,97.87910125873887,0.025603298611111113,0.003641208520866201,0.28056382794271817,0.20546451228631096,0.6666666666666667,1.0,2,0.34369225383928564,0.05097241807858953,0.8845186591148376,0.013632535934448242,-104.39278834754398
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00217.mp4,W00217.mp4,29.97002997002997,153,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.65100188078704,24.397120476044154,343.93395336402926,6.576553407214988,0.024613715277777778,0.00107629846263688,0.14062276761978865,0.13747504827831403,0.5,1.0,3,0.3192707635782191,0.018368085390522353,0.9243076369166374,0.009220520655314127,-119.1311115132753
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00218.mp4,W00218.mp4,29.97002997002997,133,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.3819017650463,23.59419144271536,355.1032819828991,36.28734506266067,0.025179398148148152,0.001972452382756537,0.16573711679401723,0.16662153744972336,0.6666666666666667,1.0,2,0.2958511253009532,0.03893074077032708,0.9165823136766752,0.008703082799911499,-0.8374188614382945
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00219.mp4,W00219.mp4,29.97002997002997,122,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.61694299768517,23.966709223154123,512.9793047941231,65.40641190446757,0.026649305555555558,0.001459719152501442,0.15839993547309528,0.11371362908501521,0.5,1.0,3,0.3074847454554123,0.023772525753191595,0.9396748344103495,0.009039272864659628,-60.371932275775414
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00220B.mp4,W00220B.mp4,29.97002997002997,135,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.81756510416666,28.06892689693542,478.8875004003078,10.715045911612387,0.02583043981481482,0.000799690209624969,0.18993316793983633,0.13757243191384755,0.5,1.0,3,0.38252624256247475,0.017094489065812974,0.9937398533026377,0.024364242951075237,-58.72046165665572
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00220N.mp4,W00220N.mp4,29.97002997002997,117,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",88.89874782986111,25.41553800276458,451.61238873587405,7.509032187385512,0.026380931712962963,0.0009825782965214303,0.15485427173023875,0.10671839815360731,0.5,1.0,3,0.35734314935439687,0.007097630932018926,0.9959899658958117,0.016555055975914,-176.71928277133568
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00220T.mp4,W00220T.mp4,29.97002997002997,135,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.85129484953704,28.126509604507646,474.59221041445636,10.712557920459304,0.0260423900462963,0.00086981129106564,0.1898966973478144,0.13717798702057482,0.5,1.0,3,0.38121684178038845,0.020224860011323065,0.9945868303378423,0.023465007543563843,-117.49720072432979
