video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
40054.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40056.npz,60,0.0,0.48412698412698413,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
40239.npz,61,0.0,0.7033567525370804,0.0,1.0,1.0,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.6229508196721312,False,ASL
40240.npz,69,0.0,0.6687370600414079,0.0,1.0,1.0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.6956521739130435,False,ASL
40242.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
40097.npz,60,0.0,0.6746031746031746,0.016666666666666666,1.0,0.9833333333333333,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
40102.npz,60,0.0,0.5238095238095238,0.23333333333333334,1.0,0.7666666666666667,0.0,0.0,0.0,1.0,False,ASL
40104.npz,61,0.0,0.6565183450429352,0.0,1.0,1.0,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.7213114754098361,False,ASL
66245.npz,66,0.0,0.6320346320346321,0.0,1.0,1.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.7727272727272727,False,ASL
40115.npz,67,0.0,0.665955934612651,0.0,1.0,1.0,0.29850746268656714,0.29850746268656714,0.29850746268656714,0.7014925373134329,False,ASL
40116.npz,62,0.0,0.6159754224270353,0.0,1.0,1.0,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.8064516129032258,False,ASL
40117.npz,60,0.0,0.5793650793650794,0.016666666666666666,1.0,0.9833333333333333,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,False,ASL
40118.npz,87,0.011494252873563218,0.638752052545156,0.011494252873563218,0.9885057471264368,0.9885057471264368,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.7586206896551724,False,ASL
40119.npz,87,0.011494252873563218,0.638752052545156,0.011494252873563218,0.9885057471264368,0.9885057471264368,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.7586206896551724,False,ASL
40121.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
40129.npz,60,0.0,0.7142857142857143,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
40130.npz,60,0.0,0.7142857142857143,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
66246.npz,63,0.0,0.6976568405139834,0.0,1.0,1.0,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.6349206349206349,False,ASL
69422.npz,60,0.0,0.6746031746031746,0.016666666666666666,1.0,0.9833333333333333,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
40169.npz,61,0.0,0.6721311475409836,0.01008827238335435,1.0,0.9899117276166457,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.6885245901639344,False,ASL
40171.npz,84,0.0,0.3424036281179138,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,False,ASL
40172.npz,75,0.0,0.6761904761904762,0.0,1.0,1.0,0.32,0.32,0.32,0.6799999999999999,False,ASL
