dataset,gloss,num_samples,mean_total_motion,mean_velocity,motion_variance_mean,acceleration_mean,trajectory_length_mean,direction_change_mean,motion_complexity_score
VSL,đồng lúa,1.0,72.736242569983,32.5358976450429,0.777962863445282,22.377753523263063,72.73624240513891,62.0,0.29800335
VSL,tuyên truyền,1.0,76.74826360307634,24.469631897008167,1.4062256813049316,16.48780479226061,76.74826329178177,97.0,0.29693308
VSL,quê,3.0,85.2024070378393,19.025404417798637,0.3534095187981923,11.570545096604354,85.20240673275354,122.0,0.29581726
VSL,phong bì,1.0,105.71282389573751,12.622363527338818,0.2610335350036621,8.102628956317902,105.7128243255429,241.0,0.290589
VSL,chảo,3.0,85.36902669429158,19.166595599705985,0.2405694425106048,11.67275160804906,85.36902656638995,133.33333333333334,0.28819135
VSL,nón,1.0,81.32650823518634,23.43610958984265,0.8258095979690552,15.65256092154864,81.32650833763182,119.0,0.28721902
VSL,tàu ngầm,1.0,102.01900689769536,14.422214888036253,0.2857917249202728,8.284756345983364,102.0190067619551,165.0,0.28641635
VSL,nhảy dù,1.0,72.3471193574369,27.446115151236327,0.7707866430282593,19.478302637736004,72.34711930714548,81.0,0.28096622
VSL,ham chơi,3.0,77.94016275306542,24.375955444673696,0.7080429494380951,15.619040141493995,77.94016286672559,98.66666666666669,0.27816036
VSL,giầy thể thao,1.0,96.156388733536,16.010038379828135,0.3186194002628326,8.55112441068285,96.1563886355143,167.0,0.27725878
VSL,vô lo vô nghĩ,1.0,62.99392215162516,29.04504290360671,0.8682222962379456,24.50793021172285,62.99392202310264,66.0,0.2766051
VSL,mây,1.0,82.14966397546232,20.51687816629807,0.6908707022666931,13.910274898304658,82.14966384880245,102.0,0.27596548
VSL,Tiền Giang,1.0,96.89688388444485,14.30541641577124,0.2556178867816925,8.724361828058074,96.89688388840295,200.0,0.274495
VSL,buộc tóc,1.0,94.9633685098961,13.951235737432452,0.2914121448993683,8.569620443388747,94.96336809499188,191.0,0.27003363
VSL,cổ vũ,1.0,65.22011829912663,29.17383432477268,0.8033091425895691,19.798167272047564,65.22011788934469,70.0,0.2692475
VSL,ngày đêm,1.0,70.37410625827033,22.925129721467584,1.1335415840148926,14.930180442857218,70.37410674348939,77.0,0.26800022
VSL,pháo hoa,1.0,73.7796239554882,23.77607839081877,0.8202429413795471,12.690670523954475,73.77962372591719,91.0,0.2633331
VSL,trụi lá,3.0,77.01946073894699,16.226431189522046,0.2303043703238169,9.746867453248766,77.0194607124043,129.66666666666666,0.26288867
VSL,vui tính,1.0,64.34422728046775,26.783283818099235,0.6138670444488525,21.205451159410075,64.34422737709247,65.0,0.26075426
VSL,múa,1.0,78.72992463223636,21.84755366102413,0.4342612624168396,12.81704949302094,78.72992469742894,99.0,0.2606189
VSL,cầu (cây cầu),1.0,75.03161168843508,22.26433026790619,0.5422515869140625,14.534938328193896,75.03161189518869,103.0,0.259854
VSL,cày ruộng,1.0,74.60754863917828,20.70359414595145,0.534839391708374,15.375661161710632,74.60754856141284,100.0,0.2577794
VSL,hành quân,3.0,52.53949488916745,9.791629333450794,0.1141453956564267,6.109341677853713,52.53949491128636,161.33333333333334,0.2571971
VSL,Thánh Gióng,1.0,68.76821496337652,23.157116339447796,0.688340961933136,17.091333053328775,68.76821490027942,90.0,0.25703278
VSL,Trung Thu,3.0,43.9893523255984,14.154668176755711,0.2426823203762372,8.732508866728272,43.989352393429726,102.33333333333331,0.25646892
VSL,bụi tre,1.0,86.7367430459708,16.145963507039205,0.2357395887374878,8.953394231931219,86.73674313072115,128.0,0.25425103
VSL,triều cường,1.0,76.04430735483766,14.703534368161232,0.987642228603363,11.523768202437983,76.04430716473144,151.0,0.25420922
VSL,quay phim,1.0,68.29710689745843,21.77515154506298,0.7895325422286987,16.04434275434863,68.2971069086343,108.0,0.25389394
VSL,thứ tự,1.0,87.47177139529958,14.018871223384684,0.3087918162345886,8.762240664292408,87.47177138528787,171.0,0.25373754
VSL,thung lũng,1.0,60.30879903864116,23.78229806493772,1.1464263200759888,17.679456923802693,60.30879945238121,74.0,0.2529608
VSL,mồ hôi nhễ nhại,1.0,84.41365136159584,15.811731715593488,0.3118762075901031,9.83923853062234,84.41365111258347,167.0,0.25247982
VSL,bạn,3.0,25.826096509660903,8.792020874890675,0.0776326917111873,4.65060173573926,25.82609652883063,94.66666666666669,0.251999
VSL,mũ lưỡi trai,1.0,66.01912350556813,25.366577949948034,0.8978025913238525,13.336382355737058,66.01912298542447,68.0,0.2519338
VSL,sơ đồ,2.0,68.10199328605086,21.712943515403477,0.9032095968723296,12.790628661391557,68.10199287784053,88.0,0.24903245
VSL,đoàn thanh niên,1.0,58.279283463954926,26.069105719452477,0.801921010017395,20.31300441062812,58.27928322926164,60.0,0.24869291
VSL,chùa,3.0,65.68086570105515,19.142128327372838,0.6642895042896271,11.357645426174033,65.6808656049737,105.66666666666669,0.2471732
VSL,sừng trâu,1.0,68.60949562676251,23.103669026929342,0.6186169981956482,13.216845422305845,68.6094957946334,93.0,0.24561548
VSL,va li,1.0,85.61978897172958,12.277631644284329,0.2519485354423523,8.91931091908079,85.61978940013796,193.0,0.24503815
VSL,chim chào mào,1.0,66.54514801688492,22.92365568670733,0.5803794264793396,15.151257998721544,66.54514769045636,64.0,0.24389564
VSL,mơ ngủ,1.0,58.1610506568104,26.816717753960532,0.7272676825523376,17.952733725309372,58.161050386726856,59.0,0.24218528
VSL,con trăn,1.0,59.76960700005293,27.988985810428854,0.5541796088218689,17.24526418201507,59.769607030786574,53.0,0.24147272
