dataset,gloss,num_samples,mean_distance,median_distance,std_distance,within_class_variance,max_distance
VSL,da trắng,3,5.852295303623468,4.441174358949988,2.042414235318443,4.17145590863142,8.7404544845127
VSL,con sư tử,2,5.804212988487532,5.804212988487532,0.0,0.0,5.804212988487532
VSL,thi cử,3,5.788512484465522,4.433543989445334,2.0040706221787357,4.0162990586798655,8.621801424230192
VSL,châm cứu,3,5.766466053032091,5.345963276895541,1.1004911305746012,1.2110807284733642,7.274409297496227
VSL,làm bài tập,2,5.731656909133593,5.731656909133593,0.0,0.0,5.731656909133593
VSL,ngọn cây,3,5.729718122494224,4.368866898350879,1.9780958810103637,3.912863314470167,8.526829334983663
VSL,môn Địa lý,3,5.700405740473919,4.442155325361228,1.9952183510480226,3.9808962683587907,8.516754947119004
VSL,mỳ ý,3,5.686050638824098,5.087799407552845,1.9432322789333902,3.7761516898886573,8.308062203671353
VSL,người xưa,3,5.6815056207625245,5.7532188219275024,0.46363797942179136,0.21496017596232145,6.210080749025505
VSL,suy nghĩ,2,5.6691999137556115,5.6691999137556115,0.0,0.0,5.6691999137556115
VSL,cái gương,3,5.652664454081091,4.428343528637261,1.97722101089812,3.909402925936984,8.441952173659102
VSL,bảng đen,3,5.647287751397158,4.7071042149614515,1.9452785560121044,3.784108660480538,8.356398094589824
VSL,bón phân,3,5.624009963920041,4.514381758409616,1.9631127727156152,3.8538117583991904,8.382743659525811
VSL,thiếu thốn,3,5.600969509334111,4.229871392195809,1.9618383817589475,3.848809836142566,8.375365670756581
VSL,dịch vụ,3,5.547873512986379,6.481132959426384,1.4933182461118537,2.2299993841705827,6.7219049919890494
VSL,thích thú,3,5.526871625191984,4.155081312551368,1.951120445081421,3.8068709912147227,8.28615772159839
VSL,gỗ,3,5.520517998702895,5.601679280256066,1.1635039866985235,1.3537415270633577,6.903198375933028
VSL,thêu,2,5.485621455941391,5.485621455941391,6.280369834735101e-16,3.944304526105059e-31,5.485621455941391
VSL,mùa xuân,3,5.481222435181223,4.232046988472207,1.923547834440361,3.700036271380202,8.198589395477555
VSL,câu thơ,3,5.457690999201174,4.945427534426924,1.9851586557924377,3.9408548886676384,8.104318901841363
VSL,ham chơi,3,5.452465919145628,4.298197986771409,1.910853361154329,3.6513605678347965,8.145678808003536
VSL,cỏ,3,5.43845442337635,4.133971956963256,1.8983467448849123,3.6037203638151425,8.122769638217996
VSL,cây thân gỗ,3,5.431630031203781,4.160553165684327,1.8643306160637685,3.47572864599271,8.06763482720109
VSL,đánh răng,2,5.42833093619179,5.42833093619179,0.0,0.0,5.42833093619179
VSL,cửa hàng,3,5.402066287199698,4.404439732305635,1.8734228663288675,3.50971323608387,8.02646790598977
VSL,môn Lịch sử,3,5.374761370265055,5.831290270324345,0.8707114916624371,0.7581385017130263,6.136897735626598
VSL,bán hàng,3,5.3739633869565395,4.331700006978832,1.8750953826171823,3.5159826939122776,8.006786182655814
VSL,sống sót,3,5.358878406593177,5.14706386831174,0.38487945533673823,0.14813219514030426,5.8990082496978955
VSL,đặc biệt,4,5.333075749330091,5.178662439041032,2.8236592104136315,7.973051336553734,8.51230738433697
VSL,tre,3,5.320322108578944,4.039317481916886,1.852452587284405,3.4315805881366868,7.939875012990917
VSL,chăm sóc sức khỏe,3,5.256765247691643,5.261342091501299,0.27451565458574434,0.07535884461263968,5.590665100856776
VSL,phản bội,3,5.244945585845598,5.637267059529806,1.7017371607951295,2.8959093644310685,7.105098770225469
VSL,con bò,3,5.243903122234848,4.045957211037426,1.8079605425329688,3.268721323356107,7.7990908360894595
VSL,phá,3,5.239822785653517,4.072558468551757,1.8256341236697264,3.33293995350733,7.81782964339628
VSL,thương yêu,6,5.214790721451215,5.028821306042795,0.58633110008674,0.34378415892892683,6.505104627126008
VSL,ngày Nhà giáo Việt nam,2,5.204797660579741,5.204797660579741,0.0,0.0,5.204797660579741
VSL,buổi đêm,3,5.178914113731473,4.350389305016921,1.802255372910102,3.2481244291833313,7.680602355042815
VSL,nhân hậu,3,5.159671480495356,3.9010059180928813,1.8190576470191215,3.3089707231787426,7.7320114249064105
VSL,văn nghệ,3,5.157942962386446,3.967248116827646,1.7640283083117432,3.11179587252519,7.65181037383006
VSL,tham dự,3,5.149970287113613,4.070251253165435,1.8070242781405355,3.265336741789323,7.695736137514438
VSL,thường xuyên,4,5.110142235987078,4.979880844660362,1.75943255685287,3.0956029221138275,7.376097436732756
VSL,nạp điện,3,5.089390374396653,4.161621905834489,1.4694958539179626,2.159418064682082,7.163728379693682
VSL,gián tiếp,3,5.088542670604135,4.7654194568474955,0.6838392575952399,0.46763613022840883,6.039501349234877
VSL,tham ăn,3,5.08706444367237,3.853611314831671,1.7497781324590294,3.0617235128318083,7.561620468366867
VSL,nên không_,3,5.083929325568051,4.027182194718086,1.792712375710102,3.2138176620241583,7.608096121544865
VSL,mỳ tôm,3,5.082215646977047,4.5362320883807135,1.5359693998385222,2.35920199724031,7.175984584844413
VSL,Mã Lai (nước Ma-lai-xi-a),3,5.079231769083698,3.8825131944475246,1.757993910253935,3.0905425884899205,7.564841006083982
