dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giấy,W01470T.npz,dataset\VSL\giấy\W01470T.npz,right,0.6233766233766234,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472B.npz,dataset\VSL\giấy màu\W01472B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472B.npz,dataset\VSL\giấy màu\W01472B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472N.npz,dataset\VSL\giấy màu\W01472N.npz,left,0.6506024096385542,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472N.npz,dataset\VSL\giấy màu\W01472N.npz,right,0.6506024096385542,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472T.npz,dataset\VSL\giấy màu\W01472T.npz,left,0.37349397590361444,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy màu,W01472T.npz,dataset\VSL\giấy màu\W01472T.npz,right,0.37349397590361444,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473B.npz,dataset\VSL\giấy nháp\W01473B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473B.npz,dataset\VSL\giấy nháp\W01473B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473N.npz,dataset\VSL\giấy nháp\W01473N.npz,left,0.38461538461538464,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473N.npz,dataset\VSL\giấy nháp\W01473N.npz,right,0.38461538461538464,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473T.npz,dataset\VSL\giấy nháp\W01473T.npz,left,0.3717948717948718,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy nháp,W01473T.npz,dataset\VSL\giấy nháp\W01473T.npz,right,0.3717948717948718,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy tờ,W01474.npz,dataset\VSL\giấy tờ\W01474.npz,left,0.7551020408163265,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy tờ,W01474.npz,dataset\VSL\giấy tờ\W01474.npz,right,0.7551020408163265,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471B.npz,dataset\VSL\giấy ăn\W01471B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471B.npz,dataset\VSL\giấy ăn\W01471B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471N.npz,dataset\VSL\giấy ăn\W01471N.npz,left,0.41975308641975306,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471N.npz,dataset\VSL\giấy ăn\W01471N.npz,right,0.41975308641975306,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471T.npz,dataset\VSL\giấy ăn\W01471T.npz,left,0.42168674698795183,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy ăn,W01471T.npz,dataset\VSL\giấy ăn\W01471T.npz,right,0.42168674698795183,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giầy ba ta,W01467.npz,dataset\VSL\giầy ba ta\W01467.npz,left,0.8631578947368421,shoulder,0.2682926829268293,0.7317073170731707,0.0,0.0,0.0
VSL,giầy ba ta,W01467.npz,dataset\VSL\giầy ba ta\W01467.npz,right,0.8631578947368421,shoulder,0.2682926829268293,0.7317073170731707,0.0,0.0,0.0
VSL,giầy dép,W01468.npz,dataset\VSL\giầy dép\W01468.npz,left,0.8571428571428571,shoulder,0.26282051282051283,0.7371794871794872,0.0,0.0,0.0
VSL,giầy dép,W01468.npz,dataset\VSL\giầy dép\W01468.npz,right,0.8571428571428571,shoulder,0.26282051282051283,0.7371794871794872,0.0,0.0,0.0
VSL,giầy thể thao,W01469.npz,dataset\VSL\giầy thể thao\W01469.npz,left,0.8917748917748918,shoulder,0.3300970873786408,0.6699029126213593,0.0,0.0,0.0
VSL,giầy thể thao,W01469.npz,dataset\VSL\giầy thể thao\W01469.npz,right,0.8917748917748918,shoulder,0.3300970873786408,0.6699029126213593,0.0,0.0,0.0
VSL,giẫm,W01463.npz,dataset\VSL\giẫm\W01463.npz,left,0.6794871794871795,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giẫm,W01463.npz,dataset\VSL\giẫm\W01463.npz,right,0.6794871794871795,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giẻ lau,W01476.npz,dataset\VSL\giẻ lau\W01476.npz,left,0.7311827956989247,shoulder,0.0,1.0,0.0,0.0,0.0
