dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,twin,5,10,1.1214323431253432,0.7857436416770421,0.1606387197971344,2.325866460800171,0.766506552696228
ASL,haircut,3,3,1.1194207469622295,0.13304977455747471,0.9484674334526062,1.272975206375122,1.13681960105896
ASL,helmet,5,10,1.119043666124344,0.33853452606237455,0.542509138584137,1.7471767663955688,1.1227226257324219
ASL,poverty,4,6,1.1184210777282715,0.5181369695913391,0.4484933018684387,1.7584776878356934,1.1030854284763336
ASL,hippopotamus,3,3,1.117923637231191,0.17191842143635483,0.9154267907142639,1.335706114768982,1.1026380062103271
ASL,fancy,7,21,1.1154526897839137,0.48089911455229584,0.3018563687801361,2.0503926277160645,1.0664904117584229
ASL,learn,8,28,1.1147508440273148,0.36825072251855684,0.4438822567462921,2.0533668994903564,1.084852933883667
ASL,moose,4,6,1.1090004444122314,0.30657611934392015,0.7869666218757629,1.6907199621200562,1.0197481513023376
ASL,bored,7,21,1.107817075082234,0.7865236283287492,0.17016972601413727,2.6373131275177,0.8797491192817688
ASL,advantage,4,6,1.1076216002305348,0.3325664586011252,0.47946375608444214,1.5160291194915771,1.1152706146240234
ASL,cloud,8,28,1.1065480623926436,0.27157339358924915,0.5204883217811584,1.6449679136276245,1.1273553967475891
ASL,mirror,8,28,1.1024655657155173,0.6326045880897666,0.3778429329395294,2.440352201461792,0.8679695129394531
ASL,trouble,5,10,1.1024117946624756,0.4332044921197551,0.5701063871383667,1.849374771118164,1.096344381570816
ASL,heaven,5,10,1.1021242678165435,0.29434125521725324,0.7859013080596924,1.6475218534469604,0.9537917673587799
ASL,crown,4,6,1.1017748216787975,0.2820231695086262,0.7072543501853943,1.5702112913131714,1.0743683576583862
ASL,radio,6,15,1.1006595691045125,0.8278980267210442,0.2886238396167755,2.528909921646118,0.6745918393135071
ASL,predict,6,15,1.0960964123408,0.43122032192694465,0.5530251860618591,1.8935421705245972,1.153591513633728
ASL,speech,10,45,1.094876825147205,0.38525683977574604,0.3245820701122284,2.2446420192718506,1.1158099174499512
ASL,stepfather,2,1,1.0948023796081543,0.0,1.0948023796081543,1.0948023796081543,1.0948023796081543
ASL,precipitation,6,15,1.0944035172462463,0.4548006032556041,0.6420162320137024,1.994464635848999,0.8904224038124084
ASL,mother,11,55,1.0939863171089779,0.6689879867385173,0.1028900220990181,2.9067368507385254,1.0163019895553589
ASL,earth,6,15,1.0935101548830668,0.4544877851708856,0.47467148303985596,2.1221907138824463,1.0828821659088135
ASL,respect,7,21,1.0923499748820351,0.3003223541824581,0.5505384802818298,1.616357445716858,1.0193219184875488
ASL,climb,5,10,1.0919603824615478,0.1941798101529564,0.6844993233680725,1.4202921390533447,1.0807955265045166
ASL,italy,5,10,1.091697132587433,0.6673067111061268,0.22288241982460022,2.0069048404693604,0.942710816860199
ASL,binoculars,4,6,1.0910292267799377,0.28419785482594034,0.6353926062583923,1.5371333360671997,1.1238654255867004
ASL,tooth,6,15,1.090902684132258,0.6771390168667315,0.20456621050834656,2.2681543827056885,0.8206221461296082
ASL,headache,9,36,1.0872663706541061,0.26991633282015937,0.4611309766769409,1.7224608659744263,1.063154697418213
ASL,cent,6,15,1.0853652894496917,0.7611509573432547,0.28362229466438293,2.4368202686309814,0.6888813376426697
ASL,power,7,21,1.0804463170823597,0.49000172617208165,0.3883056044578552,2.3482086658477783,0.9912663698196411
ASL,cereal,8,28,1.0794705067362105,0.4462401549903284,0.28234103322029114,2.194392681121826,1.0383655428886414
ASL,bank,3,3,1.0777745842933655,0.23654268666056946,0.7683764100074768,1.3426246643066406,1.122322678565979
ASL,stay,9,36,1.0769863799214363,0.3552018361671982,0.2025032341480255,1.7100517749786377,1.1598454713821411
ASL,every monday,5,10,1.0751850306987762,0.40979153493597437,0.5469200015068054,1.7869353294372559,1.0432527661323547
ASL,april,5,10,1.0749767780303956,0.6754077114425253,0.33377012610435486,2.120115041732788,0.7334054708480835
ASL,cafeteria,8,28,1.0736261584929057,0.6451122279549998,0.2146671712398529,2.4845376014709473,0.8775749504566193
ASL,visualize,5,10,1.0705292046070098,0.3157836700838755,0.6927154064178467,1.5453158617019653,1.0536839365959167
ASL,chicken,5,10,1.069036054611206,0.41107233984454156,0.4539986848831177,1.6814002990722656,1.0403068661689758
ASL,geography,7,21,1.066799126920246,0.45799667553513324,0.5358399152755737,2.0873947143554688,0.9303376078605652
ASL,grateful,5,10,1.0667406976222993,0.33880266803915876,0.6563168168067932,1.8116307258605957,1.0374886095523834
ASL,far,11,55,1.065168437090787,0.3725128946332739,0.4451051354408264,1.9341827630996704,0.9851981401443481
ASL,tall,13,78,1.0649563914690263,0.35587234152393044,0.38849255442619324,1.6655570268630981,1.1569633483886719
ASL,erase,5,10,1.0644413650035858,0.30022670541976176,0.6024191975593567,1.6596845388412476,1.0005768239498138
ASL,liability,5,10,1.063377434015274,0.32770184233039656,0.6940683722496033,1.5764161348342896,1.0687339305877686
ASL,shelf,5,10,1.0625146806240082,0.4941926349089173,0.3863399624824524,1.8071032762527466,0.8653790950775146
ASL,side,5,10,1.0624122947454453,0.3695621059057629,0.3696976602077484,1.4783778190612793,1.2466312050819397
ASL,laugh,11,55,1.0615007086233659,0.4147724359341414,0.3018711507320404,1.9748741388320923,1.124363660812378
ASL,flower,7,21,1.0592175878229595,0.7020566949340662,0.39940178394317627,2.603837490081787,0.6603682637214661
ASL,information,7,21,1.0586011977422805,0.4474609842142385,0.3977052867412567,1.9952858686447144,0.9680267572402954
ASL,up,7,21,1.0581297902833848,0.7307351545705109,0.3648926317691803,2.388244867324829,0.7302421927452087
ASL,carrot,9,36,1.0570025104615424,0.5894807268162622,0.20078423619270325,2.209423780441284,0.8655420541763306
ASL,sting,3,3,1.0490909814834595,0.18203265453755665,0.8743521571159363,1.3001784086227417,0.9727423787117004
ASL,private,7,21,1.0479416535014199,0.7375284648061633,0.1727064549922943,2.455066204071045,0.7079728245735168
ASL,north,7,21,1.0467355449994404,0.7152432229423772,0.3120299279689789,2.4654457569122314,0.6530141830444336
ASL,tournament,7,21,1.044884477342878,0.2647990744728974,0.6103419065475464,1.6296916007995605,1.0767443180084229
ASL,barely,9,36,1.0442332550883293,0.4858163972915578,0.44687744975090027,2.196561574935913,0.9287571012973785
ASL,spin,8,28,1.0436613581010274,0.44298653305252556,0.31380078196525574,2.0358400344848633,0.9367265105247498
ASL,spill,4,6,1.043266346057256,0.482338397146204,0.3887406587600708,1.684018850326538,1.0407994091510773
ASL,telescope,5,10,1.041818630695343,0.32605367049855505,0.6706990599632263,1.6934164762496948,0.9176396727561951
ASL,color,8,28,1.0412585117987223,0.5582438582334416,0.2694419026374817,2.2500836849212646,0.8820218145847321
ASL,umbrella,6,15,1.039038900534312,0.2639953029733858,0.5410656332969666,1.5392684936523438,1.0541272163391113
ASL,perfume,5,10,1.0386261656880378,0.7482682000233251,0.10268847644329071,2.067336320877075,0.7254516780376434
ASL,snake,7,21,1.032860218059449,0.6539013706132266,0.2960166037082672,2.272155523300171,0.718887984752655
ASL,turn,4,6,1.0310887396335602,0.3443503954548851,0.3110622763633728,1.3359066247940063,1.1252427697181702
ASL,roar,4,6,1.0299483438332875,0.33082253164298114,0.3766409158706665,1.4158482551574707,1.064241647720337
