rank,class_name,sample_count,cumulative_fraction
1091,dãy số,1,0.4901421366345713
1092,dãy số liệu,1,0.4903713892709766
1093,dê con,1,0.49060064190738195
1094,dê mẹ,1,0.4908298945437872
1095,dòng chữ,1,0.49105914718019256
1096,dòng họ,1,0.4912883998165979
1097,dòng sông,1,0.4915176524530032
1098,dòng sông chảy,1,0.49174690508940855
1099,dũng cảm,1,0.4919761577258138
1100,dạy,1,0.49220541036221915
1101,dải phân cách,1,0.4924346629986245
1102,dấu bằng,1,0.4926639156350298
1103,dấu chia,1,0.49289316827143514
1104,dấu chấm,1,0.4931224209078404
1105,dấu chấm hỏi,1,0.49335167354424575
1106,dấu chấm than,1,0.4935809261806511
1107,dấu gạch ngang,1,0.4938101788170564
1108,dấu hai chấm,1,0.49403943145346174
1109,dấu ngoặc đơn,1,0.494268684089867
1110,dấu nhân,1,0.49449793672627235
1111,dấu nặng,1,0.4947271893626777
1112,dấu phẩy,1,0.494956441999083
1113,dầu gội đầu,1,0.4951856946354883
1114,dầu hoả,1,0.4954149472718936
1115,dầu khí,1,0.49564419990829894
1116,dầu mỏ,1,0.4958734525447043
1117,dầu ăn,1,0.4961027051811096
1118,dẫn chương trình,1,0.4963319578175149
1119,dẫn chứng,1,0.4965612104539202
1120,dập,1,0.49679046309032554
1121,dắt,1,0.49701971572673087
1122,dặn dò,1,0.4972489683631362
1123,dẻo,1,0.4974782209995415
1124,dễ chịu,1,0.4977074736359468
1125,dễ thương,1,0.49793672627235214
1126,dệt,1,0.49816597890875747
1127,dịu dàng,1,0.49839523154516274
1128,dọc,1,0.4986244841815681
1129,dốc,1,0.4988537368179734
1130,dốt,1,0.49908298945437873
1131,dụng cụ,1,0.49931224209078406
1132,dừng lại,1,0.49954149472718934
1133,dự trữ,1,0.49977074736359467
1134,dự án,1,0.5
1135,dựng phim,1,0.5002292526364053
1136,e,1,0.5004585052728107
1137,em dâu,1,0.5006877579092159
1138,em gái,1,0.5009170105456213
1139,em út,1,0.5011462631820266
1140,email,1,0.5013755158184319
1141,f,1,0.5016047684548373
1142,gai,1,0.5018340210912425
1143,gan,1,0.5020632737276479
1144,gan dạ,1,0.5022925263640532
1145,gan lì,1,0.5025217790004585
1146,gang tay,1,0.5027510316368639
1147,ghi chép,1,0.5029802842732691
1148,ghi chú,1,0.5032095369096745
1149,ghi hình,1,0.5034387895460798
1150,ghi nhớ,1,0.5036680421824851
1151,ghé thăm,1,0.5038972948188905
1152,ghép hình,1,0.5041265474552957
1153,giai đoạn,1,0.504355800091701
1154,gian dối,1,0.5045850527281064
1155,gian khổ,1,0.5048143053645117
1156,gian lận,1,0.505043558000917
1157,giao hoán,1,0.5052728106373223
1158,giao hàng,1,0.5055020632737276
1159,giao lưu,1,0.505731315910133
1160,giao thừa,1,0.5059605685465383
1161,gieo xúc xắc,1,0.5061898211829436
1162,giàn khoan,1,0.5064190738193489
1163,giàn mướp,1,0.5066483264557542
1164,giàn nho,1,0.5068775790921596
1165,giàu có,1,0.5071068317285649
1166,giá sách,1,0.5073360843649702
1167,giá trị tuyệt đối,1,0.5075653370013755
1168,giám khảo,1,0.5077945896377808
1169,giám đốc,1,0.5080238422741862
1170,giáo dục,1,0.5082530949105915
1171,giáo sĩ,1,0.5084823475469968
1172,giã,1,0.5087116001834021
1173,giãn cách xã hội,1,0.5089408528198074
1174,gió Lào,1,0.5091701054562128
1175,giông bão,1,0.509399358092618
1176,giơ tay,1,0.5096286107290234
1177,giường,1,0.5098578633654287
1178,giả bộ (giống giả vờ),1,0.510087116001834
1179,giả mạo,1,0.5103163686382394
1180,giả sử,1,0.5105456212746446
1181,giải lao,1,0.51077487391105
1182,giải quyết,1,0.5110041265474553
1183,giải thích,1,0.5112333791838606
1184,giải vô địch,1,0.511462631820266
1185,giảm,1,0.5116918844566712
1186,giấc ngủ,1,0.5119211370930765
1187,giấy tờ,1,0.5121503897294819
1188,giầy ba ta,1,0.5123796423658872
1189,giầy dép,1,0.5126088950022926
1190,giầy thể thao,1,0.5128381476386978
1191,giẫm,1,0.5130674002751031
1192,giận dỗi,1,0.5132966529115085
1193,giận dữ,1,0.5135259055479138
1194,giật mình,1,0.5137551581843192
