video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
44177.npz,60,0.016666666666666666,0.13333333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.1,0.1,0.1,0.9,True,ASL
44178.npz,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44179.npz,60,0.03333333333333333,0.18333333333333332,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,True,ASL
44180.npz,60,0.06666666666666667,0.08333333333333333,0.08333333333333333,0.9333333333333333,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,True,ASL
44182.npz,60,0.0,0.5833333333333334,0.0,1.0,1.0,0.55,0.55,0.55,0.44999999999999996,False,ASL
44184.npz,60,0.0,0.39166666666666666,0.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
44185.npz,60,0.0,0.48333333333333334,0.0,1.0,1.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.8166666666666667,False,ASL
44186.npz,60,0.016666666666666666,0.35,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
44188.npz,60,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
44200.npz,60,0.0,0.5583333333333333,0.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
44201.npz,60,0.0,0.48333333333333334,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
44202.npz,60,0.0,0.3,0.0,1.0,1.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.8166666666666667,False,ASL
44203.npz,60,0.016666666666666666,0.48333333333333334,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
44206.npz,60,0.016666666666666666,0.26666666666666666,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.05,0.05,0.05,0.95,True,ASL
44208.npz,60,0.0,0.625,0.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,False,ASL
44221.npz,60,0.016666666666666666,0.6,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.2,0.2,0.2,0.8,False,ASL
44224.npz,60,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,ASL
44227.npz,60,0.0,0.8,0.0,1.0,1.0,0.6,0.6,0.6,0.4,False,ASL
44233.npz,60,0.0,0.6916666666666667,0.0,1.0,1.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.6166666666666667,False,ASL
44234.npz,60,0.0,0.6833333333333333,0.26666666666666666,1.0,0.7333333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
44235.npz,60,0.016666666666666666,0.6333333333333333,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
44237.npz,60,0.016666666666666666,0.5083333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
44242.npz,60,0.0,0.7416666666666667,0.03333333333333333,1.0,0.9666666666666667,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.5166666666666666,False,ASL
44273.npz,60,0.0,0.5,0.016666666666666666,1.0,0.9833333333333333,0.35,0.35,0.35,0.65,False,ASL
44274.npz,60,0.0,0.225,0.016666666666666666,1.0,0.9833333333333333,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.8166666666666667,True,ASL
44275.npz,60,0.0,0.30833333333333335,0.0,1.0,1.0,0.25,0.25,0.25,0.75,False,ASL
44276.npz,60,0.016666666666666666,0.35,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
44278.npz,60,0.016666666666666666,0.058333333333333334,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.05,0.05,0.05,0.95,True,ASL
44281.npz,60,0.0,0.5,1.0,1.0,0.0,0.4,0.4,0.4,0.6,False,ASL
66324.npz,60,0.0,0.43333333333333335,0.0,1.0,1.0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
44299.npz,60,0.0,0.4,0.016666666666666666,1.0,0.9833333333333333,0.15,0.15,0.15,0.85,False,ASL
44301.npz,60,0.03333333333333333,0.425,0.05,0.9666666666666667,0.95,0.05,0.05,0.05,0.95,False,ASL
44303.npz,60,0.0,0.5666666666666667,0.016666666666666666,1.0,0.9833333333333333,0.45,0.45,0.45,0.55,False,ASL
44333.npz,60,0.0,0.375,0.0,1.0,1.0,0.35,0.35,0.35,0.65,False,ASL
44334.npz,60,0.0,0.49166666666666664,0.016666666666666666,1.0,0.9833333333333333,0.45,0.45,0.45,0.55,False,ASL
44335.npz,60,0.0,0.35,0.016666666666666666,1.0,0.9833333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
44344.npz,60,0.03333333333333333,0.05,0.05,0.9666666666666667,0.95,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
44347.npz,60,0.016666666666666666,0.025,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44349.npz,60,0.0,0.6583333333333333,0.0,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.3666666666666667,False,ASL
44350.npz,60,0.0,0.6583333333333333,0.0,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.3666666666666667,False,ASL
44351.npz,60,0.0,0.7166666666666667,0.0,1.0,1.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.2833333333333333,False,ASL
44320.npz,60,0.0,0.675,0.0,1.0,1.0,0.35,0.35,0.35,0.65,False,ASL
44321.npz,60,0.0,0.7583333333333333,0.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,ASL
44322.npz,60,0.0,0.275,0.016666666666666666,1.0,0.9833333333333333,0.2,0.2,0.2,0.8,True,ASL
44323.npz,60,0.0,0.6166666666666667,0.0,1.0,1.0,0.25,0.25,0.25,0.75,False,ASL
44324.npz,60,0.0,0.525,0.0,1.0,1.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.7833333333333333,False,ASL
44325.npz,60,0.0,0.6083333333333333,0.016666666666666666,1.0,0.9833333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.7666666666666666,False,ASL
44327.npz,60,0.016666666666666666,0.6416666666666667,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.3,0.3,0.3,0.7,False,ASL
44329.npz,60,0.05,0.525,0.05,0.95,0.95,0.05,0.05,0.05,0.95,False,ASL
